Prefix,Suffix,Expected Middle,Model Completion,Exact Match,Edit Similarity,CHRF Score,ROUGE-L,My Score
,"
import java.util.ArrayList;

import static pl.edu.mimuw.matrix.Shape.matrix;

public class Diagonal extends SingleList {
    Diagonal(ArrayList<Pair> elems, int size) {
        this.elems = elems;
        this.shape = matrix(size, size);
    }

    public IDoubleMatrix times(IDoubleMatrix other) {
        if (!other.getClass().equals(this.getClass())) {
            return super.times(other);
        } else {
            ArrayList<Pair> elems1 = this.elems;
            int length1 = elems1.size();
            int i1 = 0;
            ArrayList<Pair> elems2 = ((Diagonal) other).getElems();
            int length2 = elems2.size();
            int i2 = 0;
            ArrayList<Pair> elems3 = new ArrayList<>();
            while (i1 < length1 && i2 < length2) {
                int ix1 = elems1.get(i1).index();
                double v1 = elems1.get(i1).value();
                int ix2 = elems2.get(i2).index();
                double v2 = elems2.get(i2).value();
                if (ix1 == ix2) {
                    Pair newPair = new Pair(ix1, v1 * v2);
                    elems3.add(newPair);
                    i1++;
                    i2++;
                } else if (ix1 < ix2) {
                    i1++;
                } else {
                    i2++;
                }
            }
            return (new Diagonal(elems3, this.shape().rows));
        }
    }

    public IDoubleMatrix times(double scalar) {
        ArrayList<Pair> elems = super.timesList(scalar);
        return (new Diagonal(elems, this.shape().rows));
    }

    public IDoubleMatrix plus(IDoubleMatrix other) {
        if (other.getClass() != this.getClass()) {
            return super.plus(other);
        } else {
            ArrayList<Pair> elems2 = super.plusToList(other);
            return (new Diagonal(elems2, this.shape().rows));
        }
    }

    public double get(int row, int column) {
        if (row != column) {
            return (0);
        }
        return (super.get(row, column));
    }

    public double[][] data() {
        double[][] resMatrix = new double[this.shape().rows][this.shape().columns];
        for (Pair elem : this.elems) {
            int k = elem.index();
            resMatrix[k][k] = elem.value();
        }
        return (resMatrix);
    }

    public double normOne() {
        return (super.normInfinity());
    }

    public String toString() {
        if (this.shape().rows < 4) {
            return (super.toString());
        }
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < this.shape().rows; i++) {
            double value = this.get(i, i);
            if (value == 0.0) {
                sb.append(""0 ... 0\n"");
                continue;
            }
            StringBuilder row = new StringBuilder();
            if (i > 2) {
                row.append(""0 ... 0 "");
            } else {
                row.append(""0 "".repeat(i));
            }
            row.append(value);
            if (i < this.shape().rows - 3) {
                row.append("" 0 ... 0"");
            } else {
                row.append("" 0 "".repeat(Math.max(0, this.shape().rows - 1 - i)));
            }
            sb.append(row).append('\n');
        }
        return (""Diagonalna "" + this.shape().toString() + ""\n"" + sb);
    }
}
","package pl.edu.mimuw.matrix;
",.getClass().equals(this.getClass()) {,0,0.1351351351351351,0.09004987719461882,0.0,0.0
"package pl.edu.mimuw.matrix;

import java.util.ArrayList;

import static pl.edu.mimuw.matrix.Shape.matrix;

public class Diagonal extends SingleList {
    Diagonal(ArrayList<Pair> elems, int size) {
        this.elems = elems;
        this.shape = matrix(size, size);
","
    public IDoubleMatrix times(IDoubleMatrix other) {
        if (!other.getClass().equals(this.getClass())) {
            return super.times(other);
        } else {
            ArrayList<Pair> elems1 = this.elems;
            int length1 = elems1.size();
            int i1 = 0;
            ArrayList<Pair> elems2 = ((Diagonal) other).getElems();
            int length2 = elems2.size();
            int i2 = 0;
            ArrayList<Pair> elems3 = new ArrayList<>();
            while (i1 < length1 && i2 < length2) {
                int ix1 = elems1.get(i1).index();
                double v1 = elems1.get(i1).value();
                int ix2 = elems2.get(i2).index();
                double v2 = elems2.get(i2).value();
                if (ix1 == ix2) {
                    Pair newPair = new Pair(ix1, v1 * v2);
                    elems3.add(newPair);
                    i1++;
                    i2++;
                } else if (ix1 < ix2) {
                    i1++;
                } else {
                    i2++;
                }
            }
            return (new Diagonal(elems3, this.shape().rows));
        }
    }

    public IDoubleMatrix times(double scalar) {
        ArrayList<Pair> elems = super.timesList(scalar);
        return (new Diagonal(elems, this.shape().rows));
    }

    public IDoubleMatrix plus(IDoubleMatrix other) {
        if (other.getClass() != this.getClass()) {
            return super.plus(other);
        } else {
            ArrayList<Pair> elems2 = super.plusToList(other);
            return (new Diagonal(elems2, this.shape().rows));
        }
    }

    public double get(int row, int column) {
        if (row != column) {
            return (0);
        }
        return (super.get(row, column));
    }

    public double[][] data() {
        double[][] resMatrix = new double[this.shape().rows][this.shape().columns];
        for (Pair elem : this.elems) {
            int k = elem.index();
            resMatrix[k][k] = elem.value();
        }
        return (resMatrix);
    }

    public double normOne() {
        return (super.normInfinity());
    }

    public String toString() {
        if (this.shape().rows < 4) {
            return (super.toString());
        }
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < this.shape().rows; i++) {
            double value = this.get(i, i);
            if (value == 0.0) {
                sb.append(""0 ... 0\n"");
                continue;
            }
            StringBuilder row = new StringBuilder();
            if (i > 2) {
                row.append(""0 ... 0 "");
            } else {
                row.append(""0 "".repeat(i));
            }
            row.append(value);
            if (i < this.shape().rows - 3) {
                row.append("" 0 ... 0"");
            } else {
                row.append("" 0 "".repeat(Math.max(0, this.shape().rows - 1 - i)));
            }
            sb.append(row).append('\n');
        }
        return (""Diagonalna "" + this.shape().toString() + ""\n"" + sb);
    }
}
","    }
","        }
    }

    public IDoubleMatrix",0,0.14634146341463417,0.055555555555555636,0.0,0.7
"package pl.edu.mimuw.matrix;

import java.util.ArrayList;

import static pl.edu.mimuw.matrix.Shape.matrix;

public class Diagonal extends SingleList {
    Diagonal(ArrayList<Pair> elems, int size) {
        this.elems = elems;
        this.shape = matrix(size, size);
    }

    public IDoubleMatrix times(IDoubleMatrix other) {
        if (!other.getClass().equals(this.getClass())) {
            return super.times(other);
        } else {
            ArrayList<Pair> elems1 = this.elems;
            int length1 = elems1.size();
            int i1 = 0;
            ArrayList<Pair> elems2 = ((Diagonal) other).getElems();
","            int i2 = 0;
            ArrayList<Pair> elems3 = new ArrayList<>();
            while (i1 < length1 && i2 < length2) {
                int ix1 = elems1.get(i1).index();
                double v1 = elems1.get(i1).value();
                int ix2 = elems2.get(i2).index();
                double v2 = elems2.get(i2).value();
                if (ix1 == ix2) {
                    Pair newPair = new Pair(ix1, v1 * v2);
                    elems3.add(newPair);
                    i1++;
                    i2++;
                } else if (ix1 < ix2) {
                    i1++;
                } else {
                    i2++;
                }
            }
            return (new Diagonal(elems3, this.shape().rows));
        }
    }

    public IDoubleMatrix times(double scalar) {
        ArrayList<Pair> elems = super.timesList(scalar);
        return (new Diagonal(elems, this.shape().rows));
    }

    public IDoubleMatrix plus(IDoubleMatrix other) {
        if (other.getClass() != this.getClass()) {
            return super.plus(other);
        } else {
            ArrayList<Pair> elems2 = super.plusToList(other);
            return (new Diagonal(elems2, this.shape().rows));
        }
    }

    public double get(int row, int column) {
        if (row != column) {
            return (0);
        }
        return (super.get(row, column));
    }

    public double[][] data() {
        double[][] resMatrix = new double[this.shape().rows][this.shape().columns];
        for (Pair elem : this.elems) {
            int k = elem.index();
            resMatrix[k][k] = elem.value();
        }
        return (resMatrix);
    }

    public double normOne() {
        return (super.normInfinity());
    }

    public String toString() {
        if (this.shape().rows < 4) {
            return (super.toString());
        }
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < this.shape().rows; i++) {
            double value = this.get(i, i);
            if (value == 0.0) {
                sb.append(""0 ... 0\n"");
                continue;
            }
            StringBuilder row = new StringBuilder();
            if (i > 2) {
                row.append(""0 ... 0 "");
            } else {
                row.append(""0 "".repeat(i));
            }
            row.append(value);
            if (i < this.shape().rows - 3) {
                row.append("" 0 ... 0"");
            } else {
                row.append("" 0 "".repeat(Math.max(0, this.shape().rows - 1 - i)));
            }
            sb.append(row).append('\n');
        }
        return (""Diagonalna "" + this.shape().toString() + ""\n"" + sb);
    }
}
","            int length2 = elems2.size();
",            for (Pair elem : elems1) {,0,0.4390243902439024,0.15548308717820267,0.0,0.1
"package pl.edu.mimuw.matrix;

import java.util.ArrayList;

import static pl.edu.mimuw.matrix.Shape.matrix;

public class Diagonal extends SingleList {
    Diagonal(ArrayList<Pair> elems, int size) {
        this.elems = elems;
        this.shape = matrix(size, size);
    }

    public IDoubleMatrix times(IDoubleMatrix other) {
        if (!other.getClass().equals(this.getClass())) {
            return super.times(other);
        } else {
            ArrayList<Pair> elems1 = this.elems;
            int length1 = elems1.size();
            int i1 = 0;
            ArrayList<Pair> elems2 = ((Diagonal) other).getElems();
            int length2 = elems2.size();
            int i2 = 0;
            ArrayList<Pair> elems3 = new ArrayList<>();
            while (i1 < length1 && i2 < length2) {
                int ix1 = elems1.get(i1).index();
                double v1 = elems1.get(i1).value();
                int ix2 = elems2.get(i2).index();
                double v2 = elems2.get(i2).value();
                if (ix1 == ix2) {
                    Pair newPair = new Pair(ix1, v1 * v2);
","                    i1++;
                    i2++;
                } else if (ix1 < ix2) {
                    i1++;
                } else {
                    i2++;
                }
            }
            return (new Diagonal(elems3, this.shape().rows));
        }
    }

    public IDoubleMatrix times(double scalar) {
        ArrayList<Pair> elems = super.timesList(scalar);
        return (new Diagonal(elems, this.shape().rows));
    }

    public IDoubleMatrix plus(IDoubleMatrix other) {
        if (other.getClass() != this.getClass()) {
            return super.plus(other);
        } else {
            ArrayList<Pair> elems2 = super.plusToList(other);
            return (new Diagonal(elems2, this.shape().rows));
        }
    }

    public double get(int row, int column) {
        if (row != column) {
            return (0);
        }
        return (super.get(row, column));
    }

    public double[][] data() {
        double[][] resMatrix = new double[this.shape().rows][this.shape().columns];
        for (Pair elem : this.elems) {
            int k = elem.index();
            resMatrix[k][k] = elem.value();
        }
        return (resMatrix);
    }

    public double normOne() {
        return (super.normInfinity());
    }

    public String toString() {
        if (this.shape().rows < 4) {
            return (super.toString());
        }
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < this.shape().rows; i++) {
            double value = this.get(i, i);
            if (value == 0.0) {
                sb.append(""0 ... 0\n"");
                continue;
            }
            StringBuilder row = new StringBuilder();
            if (i > 2) {
                row.append(""0 ... 0 "");
            } else {
                row.append(""0 "".repeat(i));
            }
            row.append(value);
            if (i < this.shape().rows - 3) {
                row.append("" 0 ... 0"");
            } else {
                row.append("" 0 "".repeat(Math.max(0, this.shape().rows - 1 - i)));
            }
            sb.append(row).append('\n');
        }
        return (""Diagonalna "" + this.shape().toString() + ""\n"" + sb);
    }
}
","                    elems3.add(newPair);
",                for (Pair elem : elems1) {,0,0.45238095238095233,0.2462167606043515,0.0,0.1
"package pl.edu.mimuw.matrix;

import java.util.ArrayList;

import static pl.edu.mimuw.matrix.Shape.matrix;

public class Diagonal extends SingleList {
    Diagonal(ArrayList<Pair> elems, int size) {
        this.elems = elems;
        this.shape = matrix(size, size);
    }

    public IDoubleMatrix times(IDoubleMatrix other) {
        if (!other.getClass().equals(this.getClass())) {
            return super.times(other);
        } else {
            ArrayList<Pair> elems1 = this.elems;
            int length1 = elems1.size();
            int i1 = 0;
            ArrayList<Pair> elems2 = ((Diagonal) other).getElems();
            int length2 = elems2.size();
            int i2 = 0;
            ArrayList<Pair> elems3 = new ArrayList<>();
            while (i1 < length1 && i2 < length2) {
                int ix1 = elems1.get(i1).index();
                double v1 = elems1.get(i1).value();
                int ix2 = elems2.get(i2).index();
                double v2 = elems2.get(i2).value();
                if (ix1 == ix2) {
                    Pair newPair = new Pair(ix1, v1 * v2);
                    elems3.add(newPair);
                    i1++;
                    i2++;
                } else if (ix1 < ix2) {
                    i1++;
                } else {
                    i2++;
                }
            }
            return (new Diagonal(elems3, this.shape().rows));
","    }

    public IDoubleMatrix times(double scalar) {
        ArrayList<Pair> elems = super.timesList(scalar);
        return (new Diagonal(elems, this.shape().rows));
    }

    public IDoubleMatrix plus(IDoubleMatrix other) {
        if (other.getClass() != this.getClass()) {
            return super.plus(other);
        } else {
            ArrayList<Pair> elems2 = super.plusToList(other);
            return (new Diagonal(elems2, this.shape().rows));
        }
    }

    public double get(int row, int column) {
        if (row != column) {
            return (0);
        }
        return (super.get(row, column));
    }

    public double[][] data() {
        double[][] resMatrix = new double[this.shape().rows][this.shape().columns];
        for (Pair elem : this.elems) {
            int k = elem.index();
            resMatrix[k][k] = elem.value();
        }
        return (resMatrix);
    }

    public double normOne() {
        return (super.normInfinity());
    }

    public String toString() {
        if (this.shape().rows < 4) {
            return (super.toString());
        }
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < this.shape().rows; i++) {
            double value = this.get(i, i);
            if (value == 0.0) {
                sb.append(""0 ... 0\n"");
                continue;
            }
            StringBuilder row = new StringBuilder();
            if (i > 2) {
                row.append(""0 ... 0 "");
            } else {
                row.append(""0 "".repeat(i));
            }
            row.append(value);
            if (i < this.shape().rows - 3) {
                row.append("" 0 ... 0"");
            } else {
                row.append("" 0 "".repeat(Math.max(0, this.shape().rows - 1 - i)));
            }
            sb.append(row).append('\n');
        }
        return (""Diagonalna "" + this.shape().toString() + ""\n"" + sb);
    }
}
","        }
","        }
    }

    public IDoubleMatrix",0,0.24390243902439024,0.055555555555555636,0.0,0.1
"package pl.edu.mimuw.matrix;

import java.util.ArrayList;

import static pl.edu.mimuw.matrix.Shape.matrix;

public class Diagonal extends SingleList {
    Diagonal(ArrayList<Pair> elems, int size) {
        this.elems = elems;
        this.shape = matrix(size, size);
    }

    public IDoubleMatrix times(IDoubleMatrix other) {
        if (!other.getClass().equals(this.getClass())) {
            return super.times(other);
        } else {
            ArrayList<Pair> elems1 = this.elems;
            int length1 = elems1.size();
            int i1 = 0;
            ArrayList<Pair> elems2 = ((Diagonal) other).getElems();
            int length2 = elems2.size();
            int i2 = 0;
            ArrayList<Pair> elems3 = new ArrayList<>();
            while (i1 < length1 && i2 < length2) {
                int ix1 = elems1.get(i1).index();
                double v1 = elems1.get(i1).value();
                int ix2 = elems2.get(i2).index();
                double v2 = elems2.get(i2).value();
                if (ix1 == ix2) {
                    Pair newPair = new Pair(ix1, v1 * v2);
                    elems3.add(newPair);
                    i1++;
                    i2++;
                } else if (ix1 < ix2) {
                    i1++;
                } else {
                    i2++;
                }
            }
            return (new Diagonal(elems3, this.shape().rows));
        }
    }

    public IDoubleMatrix times(double scalar) {
        ArrayList<Pair> elems = super.timesList(scalar);
        return (new Diagonal(elems, this.shape().rows));
    }

    public IDoubleMatrix plus(IDoubleMatrix other) {
        if (other.getClass() != this.getClass()) {
","        } else {
            ArrayList<Pair> elems2 = super.plusToList(other);
            return (new Diagonal(elems2, this.shape().rows));
        }
    }

    public double get(int row, int column) {
        if (row != column) {
            return (0);
        }
        return (super.get(row, column));
    }

    public double[][] data() {
        double[][] resMatrix = new double[this.shape().rows][this.shape().columns];
        for (Pair elem : this.elems) {
            int k = elem.index();
            resMatrix[k][k] = elem.value();
        }
        return (resMatrix);
    }

    public double normOne() {
        return (super.normInfinity());
    }

    public String toString() {
        if (this.shape().rows < 4) {
            return (super.toString());
        }
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < this.shape().rows; i++) {
            double value = this.get(i, i);
            if (value == 0.0) {
                sb.append(""0 ... 0\n"");
                continue;
            }
            StringBuilder row = new StringBuilder();
            if (i > 2) {
                row.append(""0 ... 0 "");
            } else {
                row.append(""0 "".repeat(i));
            }
            row.append(value);
            if (i < this.shape().rows - 3) {
                row.append("" 0 ... 0"");
            } else {
                row.append("" 0 "".repeat(Math.max(0, this.shape().rows - 1 - i)));
            }
            sb.append(row).append('\n');
        }
        return (""Diagonalna "" + this.shape().toString() + ""\n"" + sb);
    }
}
","            return super.plus(other);
","            return super.plusToList(other);
       ",0,0.7450980392156863,0.85284782914762,0.75,0.8
"package pl.edu.mimuw.matrix;

import java.util.ArrayList;

import static pl.edu.mimuw.matrix.Shape.matrix;

public class Diagonal extends SingleList {
    Diagonal(ArrayList<Pair> elems, int size) {
        this.elems = elems;
        this.shape = matrix(size, size);
    }

    public IDoubleMatrix times(IDoubleMatrix other) {
        if (!other.getClass().equals(this.getClass())) {
            return super.times(other);
        } else {
            ArrayList<Pair> elems1 = this.elems;
            int length1 = elems1.size();
            int i1 = 0;
            ArrayList<Pair> elems2 = ((Diagonal) other).getElems();
            int length2 = elems2.size();
            int i2 = 0;
            ArrayList<Pair> elems3 = new ArrayList<>();
            while (i1 < length1 && i2 < length2) {
                int ix1 = elems1.get(i1).index();
                double v1 = elems1.get(i1).value();
                int ix2 = elems2.get(i2).index();
                double v2 = elems2.get(i2).value();
                if (ix1 == ix2) {
                    Pair newPair = new Pair(ix1, v1 * v2);
                    elems3.add(newPair);
                    i1++;
                    i2++;
                } else if (ix1 < ix2) {
                    i1++;
                } else {
                    i2++;
                }
            }
            return (new Diagonal(elems3, this.shape().rows));
        }
    }

    public IDoubleMatrix times(double scalar) {
        ArrayList<Pair> elems = super.timesList(scalar);
        return (new Diagonal(elems, this.shape().rows));
    }

    public IDoubleMatrix plus(IDoubleMatrix other) {
        if (other.getClass() != this.getClass()) {
            return super.plus(other);
        } else {
            ArrayList<Pair> elems2 = super.plusToList(other);
            return (new Diagonal(elems2, this.shape().rows));
        }
    }

    public double get(int row, int column) {
        if (row != column) {
            return (0);
","        return (super.get(row, column));
    }

    public double[][] data() {
        double[][] resMatrix = new double[this.shape().rows][this.shape().columns];
        for (Pair elem : this.elems) {
            int k = elem.index();
            resMatrix[k][k] = elem.value();
        }
        return (resMatrix);
    }

    public double normOne() {
        return (super.normInfinity());
    }

    public String toString() {
        if (this.shape().rows < 4) {
            return (super.toString());
        }
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < this.shape().rows; i++) {
            double value = this.get(i, i);
            if (value == 0.0) {
                sb.append(""0 ... 0\n"");
                continue;
            }
            StringBuilder row = new StringBuilder();
            if (i > 2) {
                row.append(""0 ... 0 "");
            } else {
                row.append(""0 "".repeat(i));
            }
            row.append(value);
            if (i < this.shape().rows - 3) {
                row.append("" 0 ... 0"");
            } else {
                row.append("" 0 "".repeat(Math.max(0, this.shape().rows - 1 - i)));
            }
            sb.append(row).append('\n');
        }
        return (""Diagonalna "" + this.shape().toString() + ""\n"" + sb);
    }
}
","        }
","        }
        return (this.elems[row",0,0.25,0.05376344086021514,0.0,0.0
"package pl.edu.mimuw.matrix;

import java.util.ArrayList;

import static pl.edu.mimuw.matrix.Shape.matrix;

public class Diagonal extends SingleList {
    Diagonal(ArrayList<Pair> elems, int size) {
        this.elems = elems;
        this.shape = matrix(size, size);
    }

    public IDoubleMatrix times(IDoubleMatrix other) {
        if (!other.getClass().equals(this.getClass())) {
            return super.times(other);
        } else {
            ArrayList<Pair> elems1 = this.elems;
            int length1 = elems1.size();
            int i1 = 0;
            ArrayList<Pair> elems2 = ((Diagonal) other).getElems();
            int length2 = elems2.size();
            int i2 = 0;
            ArrayList<Pair> elems3 = new ArrayList<>();
            while (i1 < length1 && i2 < length2) {
                int ix1 = elems1.get(i1).index();
                double v1 = elems1.get(i1).value();
                int ix2 = elems2.get(i2).index();
                double v2 = elems2.get(i2).value();
                if (ix1 == ix2) {
                    Pair newPair = new Pair(ix1, v1 * v2);
                    elems3.add(newPair);
                    i1++;
                    i2++;
                } else if (ix1 < ix2) {
                    i1++;
                } else {
                    i2++;
                }
            }
            return (new Diagonal(elems3, this.shape().rows));
        }
    }

    public IDoubleMatrix times(double scalar) {
        ArrayList<Pair> elems = super.timesList(scalar);
        return (new Diagonal(elems, this.shape().rows));
    }

    public IDoubleMatrix plus(IDoubleMatrix other) {
        if (other.getClass() != this.getClass()) {
            return super.plus(other);
        } else {
            ArrayList<Pair> elems2 = super.plusToList(other);
            return (new Diagonal(elems2, this.shape().rows));
        }
    }

    public double get(int row, int column) {
        if (row != column) {
            return (0);
        }
        return (super.get(row, column));
    }

    public double[][] data() {
        double[][] resMatrix = new double[this.shape().rows][this.shape().columns];
        for (Pair elem : this.elems) {
            int k = elem.index();
            resMatrix[k][k] = elem.value();
        }
","    }

    public double normOne() {
        return (super.normInfinity());
    }

    public String toString() {
        if (this.shape().rows < 4) {
            return (super.toString());
        }
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < this.shape().rows; i++) {
            double value = this.get(i, i);
            if (value == 0.0) {
                sb.append(""0 ... 0\n"");
                continue;
            }
            StringBuilder row = new StringBuilder();
            if (i > 2) {
                row.append(""0 ... 0 "");
            } else {
                row.append(""0 "".repeat(i));
            }
            row.append(value);
            if (i < this.shape().rows - 3) {
                row.append("" 0 ... 0"");
            } else {
                row.append("" 0 "".repeat(Math.max(0, this.shape().rows - 1 - i)));
            }
            sb.append(row).append('\n');
        }
        return (""Diagonalna "" + this.shape().toString() + ""\n"" + sb);
    }
}
","        return (resMatrix);
","        return resMatrix;
",0,0.9285714285714286,0.6458113241448629,1.0,1.0
"package pl.edu.mimuw.matrix;

import java.util.ArrayList;

import static pl.edu.mimuw.matrix.Shape.matrix;

public class Diagonal extends SingleList {
    Diagonal(ArrayList<Pair> elems, int size) {
        this.elems = elems;
        this.shape = matrix(size, size);
    }

    public IDoubleMatrix times(IDoubleMatrix other) {
        if (!other.getClass().equals(this.getClass())) {
            return super.times(other);
        } else {
            ArrayList<Pair> elems1 = this.elems;
            int length1 = elems1.size();
            int i1 = 0;
            ArrayList<Pair> elems2 = ((Diagonal) other).getElems();
            int length2 = elems2.size();
            int i2 = 0;
            ArrayList<Pair> elems3 = new ArrayList<>();
            while (i1 < length1 && i2 < length2) {
                int ix1 = elems1.get(i1).index();
                double v1 = elems1.get(i1).value();
                int ix2 = elems2.get(i2).index();
                double v2 = elems2.get(i2).value();
                if (ix1 == ix2) {
                    Pair newPair = new Pair(ix1, v1 * v2);
                    elems3.add(newPair);
                    i1++;
                    i2++;
                } else if (ix1 < ix2) {
                    i1++;
                } else {
                    i2++;
                }
            }
            return (new Diagonal(elems3, this.shape().rows));
        }
    }

    public IDoubleMatrix times(double scalar) {
        ArrayList<Pair> elems = super.timesList(scalar);
        return (new Diagonal(elems, this.shape().rows));
    }

    public IDoubleMatrix plus(IDoubleMatrix other) {
        if (other.getClass() != this.getClass()) {
            return super.plus(other);
        } else {
            ArrayList<Pair> elems2 = super.plusToList(other);
            return (new Diagonal(elems2, this.shape().rows));
        }
    }

    public double get(int row, int column) {
        if (row != column) {
            return (0);
        }
        return (super.get(row, column));
    }

    public double[][] data() {
        double[][] resMatrix = new double[this.shape().rows][this.shape().columns];
        for (Pair elem : this.elems) {
            int k = elem.index();
            resMatrix[k][k] = elem.value();
        }
        return (resMatrix);
    }

    public double normOne() {
        return (super.normInfinity());
    }

    public String toString() {
        if (this.shape().rows < 4) {
            return (super.toString());
","        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < this.shape().rows; i++) {
            double value = this.get(i, i);
            if (value == 0.0) {
                sb.append(""0 ... 0\n"");
                continue;
            }
            StringBuilder row = new StringBuilder();
            if (i > 2) {
                row.append(""0 ... 0 "");
            } else {
                row.append(""0 "".repeat(i));
            }
            row.append(value);
            if (i < this.shape().rows - 3) {
                row.append("" 0 ... 0"");
            } else {
                row.append("" 0 "".repeat(Math.max(0, this.shape().rows - 1 - i)));
            }
            sb.append(row).append('\n');
        }
        return (""Diagonalna "" + this.shape().toString() + ""\n"" + sb);
    }
}
","        }
","            return (super.toString());
        }
       ",0,0.1785714285714286,0.0476190476190477,0.0,0.1
"package pl.edu.mimuw.matrix;

import java.util.ArrayList;

import static pl.edu.mimuw.matrix.Shape.matrix;

public class Diagonal extends SingleList {
    Diagonal(ArrayList<Pair> elems, int size) {
        this.elems = elems;
        this.shape = matrix(size, size);
    }

    public IDoubleMatrix times(IDoubleMatrix other) {
        if (!other.getClass().equals(this.getClass())) {
            return super.times(other);
        } else {
            ArrayList<Pair> elems1 = this.elems;
            int length1 = elems1.size();
            int i1 = 0;
            ArrayList<Pair> elems2 = ((Diagonal) other).getElems();
            int length2 = elems2.size();
            int i2 = 0;
            ArrayList<Pair> elems3 = new ArrayList<>();
            while (i1 < length1 && i2 < length2) {
                int ix1 = elems1.get(i1).index();
                double v1 = elems1.get(i1).value();
                int ix2 = elems2.get(i2).index();
                double v2 = elems2.get(i2).value();
                if (ix1 == ix2) {
                    Pair newPair = new Pair(ix1, v1 * v2);
                    elems3.add(newPair);
                    i1++;
                    i2++;
                } else if (ix1 < ix2) {
                    i1++;
                } else {
                    i2++;
                }
            }
            return (new Diagonal(elems3, this.shape().rows));
        }
    }

    public IDoubleMatrix times(double scalar) {
        ArrayList<Pair> elems = super.timesList(scalar);
        return (new Diagonal(elems, this.shape().rows));
    }

    public IDoubleMatrix plus(IDoubleMatrix other) {
        if (other.getClass() != this.getClass()) {
            return super.plus(other);
        } else {
            ArrayList<Pair> elems2 = super.plusToList(other);
            return (new Diagonal(elems2, this.shape().rows));
        }
    }

    public double get(int row, int column) {
        if (row != column) {
            return (0);
        }
        return (super.get(row, column));
    }

    public double[][] data() {
        double[][] resMatrix = new double[this.shape().rows][this.shape().columns];
        for (Pair elem : this.elems) {
            int k = elem.index();
            resMatrix[k][k] = elem.value();
        }
        return (resMatrix);
    }

    public double normOne() {
        return (super.normInfinity());
    }

    public String toString() {
        if (this.shape().rows < 4) {
            return (super.toString());
        }
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < this.shape().rows; i++) {
            double value = this.get(i, i);
            if (value == 0.0) {
                sb.append(""0 ... 0\n"");
                continue;
            }
            StringBuilder row = new StringBuilder();
            if (i > 2) {
","            } else {
                row.append(""0 "".repeat(i));
            }
            row.append(value);
            if (i < this.shape().rows - 3) {
                row.append("" 0 ... 0"");
            } else {
                row.append("" 0 "".repeat(Math.max(0, this.shape().rows - 1 - i)));
            }
            sb.append(row).append('\n');
        }
        return (""Diagonalna "" + this.shape().toString() + ""\n"" + sb);
    }
}
","                row.append(""0 ... 0 "");
","                row.append(""0 "".repeat(i",0,0.775,0.6111070033673951,0.6666666666666665,0.7
